tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY
b2b-0,50880,3826,3600,-122.18261904679127,48.04990684095329
b2b-1,50880,3826,3600,-122.18261904679127,48.04990684095329
b2b-2,29460,3589,3600,-122.32929698162673,47.79902637127254
b2b-3,26160,3589,3600,-122.32929698162673,47.79902637127254
b2b-4,32160,3589,3600,-122.32929698162673,47.79902637127254
b2b-5,29040,3589,3600,-122.32929698162673,47.79902637127254
b2b-6,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-7,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-8,29940,3625,3600,-122.28659156226864,47.82652426147904
b2b-9,27240,3625,3600,-122.28659156226864,47.82652426147904
b2b-10,29580,3625,3600,-122.28659156226864,47.82652426147904
b2b-11,27300,3625,3600,-122.28659156226864,47.82652426147904
b2b-12,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-13,28260,3625,3600,-122.28659156226864,47.82652426147904
b2b-14,23400,3625,3600,-122.28659156226864,47.82652426147904
b2b-15,23280,3625,3600,-122.28659156226864,47.82652426147904
b2b-16,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-17,25620,3625,3600,-122.28659156226864,47.82652426147904
b2b-18,24300,3625,3600,-122.28659156226864,47.82652426147904
b2b-19,27600,3625,3600,-122.28659156226864,47.82652426147904
b2b-20,23280,3625,3600,-122.28659156226864,47.82652426147904
b2b-21,30300,3625,3600,-122.28659156226864,47.82652426147904
b2b-22,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-23,32220,3625,3600,-122.28659156226864,47.82652426147904
b2b-24,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-25,50400,3625,3600,-122.28659156226864,47.82652426147904
b2b-26,31380,3754,3600,-121.96997707108169,47.85466090083877
b2b-27,23460,3181,3600,-122.78777614001072,47.20701293088086
b2b-28,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-29,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-30,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-31,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-32,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-33,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-34,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-35,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-36,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-37,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-38,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-39,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-40,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-41,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-42,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-43,29940,3860,3600,-122.2273538455668,48.28573907622722
b2b-44,29340,3860,3600,-122.2273538455668,48.28573907622722
b2b-45,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-46,29040,3860,3600,-122.2273538455668,48.28573907622722
b2b-47,33540,3860,3600,-122.2273538455668,48.28573907622722
b2b-48,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-49,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-50,31140,3860,3600,-122.2273538455668,48.28573907622722
b2b-51,19920,3860,3600,-122.2273538455668,48.28573907622722
b2b-52,27540,3860,3600,-122.2273538455668,48.28573907622722
b2b-53,17160,3860,3600,-122.2273538455668,48.28573907622722
b2b-54,17940,3860,3600,-122.2273538455668,48.28573907622722
b2b-55,34440,3860,3600,-122.2273538455668,48.28573907622722
b2b-56,24840,3860,3600,-122.2273538455668,48.28573907622722
b2b-57,31980,3860,3600,-122.2273538455668,48.28573907622722
b2b-58,21240,3860,3600,-122.2273538455668,48.28573907622722
